Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
waitForAlert(2),Chrome 106.0.0.0,,,2022-10-07 11:13:57,2022-10-07 11:13:59,2.052s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM_Employee_Create/i_Employee_dropdown""))",Chrome 106.0.0.0,,,2022-10-07 11:13:59,2022-10-07 11:14:00,0.372s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM_Employee_Create/a_Logout""))",Chrome 106.0.0.0,,,2022-10-07 11:14:00,2022-10-07 11:14:01,1.225s,PASSED
waitForAlert(2),Chrome 106.0.0.0,,,2022-10-07 11:14:01,2022-10-07 11:14:03,2.077s,PASSED
closeBrowser(),Chrome 106.0.0.0,,,2022-10-07 11:14:03,2022-10-07 11:14:04,1.091s,PASSED
,,,,,,,
Test Cases/OrangeHRM_Employee_Delete,Chrome 106.0.0.0,Search and Delete employee record,,2022-10-07 11:14:04,2022-10-07 11:15:03,58.477s,PASSED
"callTestCase(findTestCase(""OrangeHRM_Login_Page""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-07 11:14:05,2022-10-07 11:14:11,6.259s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM_Employee_Delete/button_Admin_Minimize_Menu""))",Chrome 106.0.0.0,,,2022-10-07 11:14:11,2022-10-07 11:14:14,3.327s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM_Employee_Create/input_Employee_name_search""))",Chrome 106.0.0.0,,,2022-10-07 11:14:14,2022-10-07 11:14:15,0.383s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRM_Employee_Create/input_Employee_name_search""), ""Abdul"")",Chrome 106.0.0.0,,,2022-10-07 11:14:15,2022-10-07 11:14:15,0.753s,PASSED
waitForAlert(2),Chrome 106.0.0.0,,,2022-10-07 11:14:15,2022-10-07 11:14:17,2.054s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM_Employee_Create/div_First_option_select""))",Chrome 106.0.0.0,,,2022-10-07 11:14:17,2022-10-07 11:14:18,0.378s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM_Employee_Create/button_Search_employee""))",Chrome 106.0.0.0,,,2022-10-07 11:14:18,2022-10-07 11:14:18,0.498s,PASSED
"scrollToPosition(100, 200)",Chrome 106.0.0.0,,,2022-10-07 11:14:18,2022-10-07 11:14:18,0.023s,PASSED
waitForAlert(2),Chrome 106.0.0.0,,,2022-10-07 11:14:18,2022-10-07 11:14:20,2.069s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM_Employee_Delete/Select_First_record""))",Chrome 106.0.0.0,,,2022-10-07 11:14:20,2022-10-07 11:14:21,0.389s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM_Employee_Delete/button_Delete Selected record""))",Chrome 106.0.0.0,,,2022-10-07 11:14:21,2022-10-07 11:14:21,0.492s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM_Employee_Delete/button_Yes, Delete""))",Chrome 106.0.0.0,,,2022-10-07 11:14:21,2022-10-07 11:14:53,31.544s,PASSED
waitForAlert(2),Chrome 106.0.0.0,,,2022-10-07 11:14:53,2022-10-07 11:14:55,2.057s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM_Employee_Create/i_Employee_dropdown""))",Chrome 106.0.0.0,,,2022-10-07 11:14:55,2022-10-07 11:14:55,0.371s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM_Employee_Create/a_Logout""))",Chrome 106.0.0.0,,,2022-10-07 11:14:55,2022-10-07 11:15:00,4.377s,PASSED
waitForAlert(2),Chrome 106.0.0.0,,,2022-10-07 11:15:00,2022-10-07 11:15:02,2.057s,PASSED
closeBrowser(),Chrome 106.0.0.0,,,2022-10-07 11:15:02,2022-10-07 11:15:03,1.106s,PASSED
,,,,,,,
Test Cases/OrangeHRM_Employee_create_wrong_input,Chrome 106.0.0.0,Creating employee with wrong input date in license expire date,,2022-10-07 11:15:03,2022-10-07 11:15:55,52.458s,FAILED
"callTestCase(findTestCase(""OrangeHRM_Login_Page""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-07 11:15:03,2022-10-07 11:15:09,5.997s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM_Employee_Create/button_Add_Employee""))",Chrome 106.0.0.0,,,2022-10-07 11:15:09,2022-10-07 11:15:13,3.398s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRM_Employee_Create/input_Employee_firstName""), ""Rajan"")",Chrome 106.0.0.0,,,2022-10-07 11:15:13,2022-10-07 11:15:14,1.685s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRM_Employee_Create/input_Employee_middleName""), ""Sham"")",Chrome 106.0.0.0,,,2022-10-07 11:15:14,2022-10-07 11:15:15,0.685s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRM_Employee_Create/input_Employee_lastName""), ""Shankar"")",Chrome 106.0.0.0,,,2022-10-07 11:15:15,2022-10-07 11:15:16,0.696s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRM_Employee_Create/input_Enter_Employee Id""), ""002"")",Chrome 106.0.0.0,,,2022-10-07 11:15:16,2022-10-07 11:15:16,0.662s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM_Employee_Create/button_Employee_Save""))",Chrome 106.0.0.0,,,2022-10-07 11:15:16,2022-10-07 11:15:17,0.376s,PASSED
waitForAlert(2),Chrome 106.0.0.0,,,2022-10-07 11:15:17,2022-10-07 11:15:19,2.051s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRM_Employee_Create/input_Enter_Employee_Other Id""), ""RSS202206"")",Chrome 106.0.0.0,,,2022-10-07 11:15:19,2022-10-07 11:15:22,3.476s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRM_Employee_Create/input_Enter_driver_license_number""), ""MH1420130221"")",Chrome 106.0.0.0,,,2022-10-07 11:15:22,2022-10-07 11:15:23,0.714s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRM_Employee_Create/input_Enter_License Expiry Date""), ""3000-05-40"")",Chrome 106.0.0.0,,,2022-10-07 11:15:23,2022-10-07 11:15:24,0.673s,PASSED
"verifyElementNotVisible(findTestObject(""Object Repository/OrangeHRM_Employee_Create/span_Should be a valid date in yyyy-mm-dd format""))",Chrome 106.0.0.0,,,2022-10-07 11:15:24,2022-10-07 11:15:55,31.657s,FAILED
